Row,IsBetaEasy
scenario930,1
scenario931,0
scenario932,0
scenario933,0
scenario934,1
scenario935,0
scenario936,0
scenario937,0
scenario938,0
scenario939,0
scenario940,0
scenario941,0
scenario942,0
scenario943,1
scenario944,0
scenario945,0
scenario946,1
scenario947,0
scenario948,0
scenario949,0
scenario950,0
scenario951,0
scenario952,0
scenario953,1
scenario954,0
scenario955,0
scenario956,0
scenario957,1
scenario958,0
scenario959,1
scenario960,0
scenario961,0
scenario962,0
scenario963,0
scenario964,0
scenario965,1
scenario966,0
scenario967,0
scenario968,1
scenario969,0
scenario970,0
scenario971,0
scenario972,0
scenario973,0
scenario974,0
scenario975,0
scenario976,0
scenario977,1
scenario978,0
scenario979,0
scenario980,0
scenario981,0
scenario982,0
scenario983,0
scenario984,1
scenario985,0
scenario986,0
scenario987,0
scenario988,0
scenario989,0
scenario990,0
scenario991,0
scenario992,0
scenario993,0
scenario994,0
scenario995,0
scenario996,0
scenario997,0
scenario998,1
scenario999,0
scenario1000,0
scenario1001,1
scenario1002,0
scenario1003,0
scenario1004,0
scenario1005,0
scenario1006,0
scenario1007,0
scenario1008,0
scenario1009,1
scenario1010,1
scenario1011,0
scenario1012,0
scenario1013,1
scenario1014,0
scenario1015,0
scenario1016,0
scenario1017,0
scenario1018,0
scenario1019,0
scenario1020,0
scenario1021,0
scenario1022,0
scenario1023,1
scenario1024,1
scenario1025,1
scenario1026,0
scenario1027,0
scenario1028,0
scenario1029,1
scenario1030,0
scenario1031,0
scenario1032,0
scenario1033,0
