instances,algo_collision,feature_npc1_avg_control_speed,feature_npc1_max_control_speed,feature_npc2_avg_control_speed,feature_npc2_max_control_speed,feature_npc1_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_max_speed,feature_npc1_max_speed,feature_npc2_max_speed,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_type_npc_max_speed,feature_op_npc_max_speed,feature_ctrl_speed_npc_max_speed,feature_dist_av_npc_max_speed,source
scenario112,1,18.075601448035393,29.101859020409567,17.328472160558853,28.31041281907972,4,8,11.494160573217393,20.796362289870448,28.306519742874393,26.449189801597118,58.62977754860012,1.9529054337114895,1,1,1,0,16.915625835587498,27.080414208875762,6.14701998176753,11.47948245300017,8.97794478930085,28.306519742874393,2,1,27.344864694453083,34.30743321791052,random
scenario113,0,12.907552034672838,16.218313197944155,13.356906249423844,26.343669138275207,6,7,11.62439984537993,16.216747265482226,26.28495773152096,16.871861425528543,39.367637901583656,3.353182342990818,1,2,2,1,16.218313197944155,20.426070431884007,18.649181977154235,7.12482653275199,7.931596599591546,26.28495773152096,2,0,11.487760678285195,18.162485847586872,random
scenario114,0,11.057899410966884,27.293107238915454,14.424121014224678,25.702581040604553,7,6,11.700034583042159,16.53515465672372,18.473301287438662,29.740444840128784,86.2739378942854,3.6511451889507236,1,2,0,2,4.597400694828654,25.702581040604553,4.792081191482347,4.434027737223233,7.6020927305899555,18.473301287438662,2,0,18.484389586164024,3.766018430356665,random
scenario115,0,14.402237683830743,27.843339201429856,13.356366154406695,26.709032005601976,5,6,11.657020129320738,30.838628778810826,26.610961439073723,15.589696409236243,41.596239860133444,2.7106340906557644,1,1,1,2,27.843339201429856,23.75605950344074,5.967735616257925,10.427592116207826,8.41898949055902,30.838628778810826,1,2,23.75605950344074,6.010390608473377,random
scenario116,0,17.22452860736604,27.240491109009792,18.970208525569245,29.54336915222872,7,7,11.689709365338636,26.310443229508685,27.24440597832189,34.70436918875481,91.06906167469921,3.801715517705778,2,2,1,2,26.494037848799323,12.533596357818219,12.304832975075445,0.0,6.379271048897902,27.24440597832189,2,2,27.244786943114956,53.42659460232894,random
scenario117,0,14.066209348348561,26.432017147595147,11.6126219280784,29.59597985243328,5,5,11.605206613656408,26.424518924753873,29.580473107034365,25.387647420853682,68.00611166411842,2.766009617728642,1,1,0,0,19.041866775770234,16.920921499197018,13.455078460149624,8.530984308759079,7.866896432260903,29.580473107034365,2,2,0.9445523109140763,44.86418861013108,random
scenario118,0,16.733485372707445,26.345178187586214,12.648611835803306,24.590148339317313,5,7,11.202475256687736,21.246735113085933,22.806099108888017,21.18196484976328,58.060298421453716,2.796000023352799,1,1,2,2,18.15286237694676,8.825762152969945,21.246735113085933,8.726135395640974,8.373719609745674,22.806099108888017,2,1,0.8919722968836308,43.588408819216546,random
scenario119,0,16.067097139557372,29.633343820125212,18.692640286675008,29.9992148124554,6,5,11.69019419261703,25.818230875024504,29.98329298889188,35.565776724829085,103.27888808330584,3.856119316586835,2,2,1,0,8.288297583355554,29.9992148124554,23.21528593945313,21.0748226076606,8.623102483866212,29.98329298889188,2,0,15.5167372348001,47.213043468167406,random
scenario120,0,12.892343262320358,27.64231828414735,11.978136535826032,23.341105288526382,7,6,11.121346689911313,22.793304182757662,23.32902755526063,31.054916025857587,70.17042059532905,3.877246789952842,1,2,2,0,11.86702964368722,23.341105288526382,19.043680034093803,7.9931788957410985,7.800488275761711,23.32902755526063,2,1,16.956727341049532,32.12625086640483,random
scenario121,0,8.05906482015767,20.502621888391335,14.112562662636416,28.84982603220047,6,9,11.641753147968211,20.49069828657854,28.84994295351062,61.657272535222766,104.18042348896459,3.8079653334114374,1,2,0,2,20.502621888391335,13.078930656899864,12.757364989300637,3.503428934326024,8.485466839398375,28.84994295351062,2,2,26.101794810601746,58.277404663734956,random
